year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2003,DMR South Central Division,Donnybrook,61101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",51
2003,DMR South Central Division,Donnybrook,61101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,99
2003,DMR South Central Division,Donnybrook,61101,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR South Central Division,Donnybrook,61101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",53
2003,DMR South Central Division,Donnybrook,61101,07,Burglary and related offences (07),Burglary and related offences,385
2003,DMR South Central Division,Donnybrook,61101,08,Theft and related offences (08),Theft and related offences,909
2003,DMR South Central Division,Donnybrook,61101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",22
2003,DMR South Central Division,Donnybrook,61101,10,Controlled drug offences (10),Controlled drug offences,40
2003,DMR South Central Division,Donnybrook,61101,11,Weapons and explosives offences (11),Weapons and explosives offences,20
2003,DMR South Central Division,Donnybrook,61101,12,Damage to property and to the environment  offences (12),Damage to property & environment,275
2003,DMR South Central Division,Donnybrook,61101,13,Public order and other social code offences (13),Public order & social code offences,340
2003,DMR South Central Division,Donnybrook,61101,14,Road and traffic offences (14),Road and traffic offences,794
2003,DMR South Central Division,Donnybrook,61101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",27
2003,DMR South Central Division,Donnybrook,61101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,16
2003,DMR South Central Division,Irishtown,61102,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",23
2003,DMR South Central Division,Irishtown,61102,04,Dangerous or negligent acts (04),Dangerous or negligent acts,39
2003,DMR South Central Division,Irishtown,61102,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR South Central Division,Irishtown,61102,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",28
2003,DMR South Central Division,Irishtown,61102,07,Burglary and related offences (07),Burglary and related offences,308
2003,DMR South Central Division,Irishtown,61102,08,Theft and related offences (08),Theft and related offences,592
2003,DMR South Central Division,Irishtown,61102,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",17
2003,DMR South Central Division,Irishtown,61102,10,Controlled drug offences (10),Controlled drug offences,19
2003,DMR South Central Division,Irishtown,61102,11,Weapons and explosives offences (11),Weapons and explosives offences,6
2003,DMR South Central Division,Irishtown,61102,12,Damage to property and to the environment  offences (12),Damage to property & environment,232
2003,DMR South Central Division,Irishtown,61102,13,Public order and other social code offences (13),Public order & social code offences,143
2003,DMR South Central Division,Irishtown,61102,14,Road and traffic offences (14),Road and traffic offences,351
2003,DMR South Central Division,Irishtown,61102,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",19
2003,DMR South Central Division,Irishtown,61102,16,Offences not elsewhere classified (16),Offences not elsewhere classified,10
2003,DMR South Central Division,Pearse Street,61202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",434
2003,DMR South Central Division,Pearse Street,61202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,202
2003,DMR South Central Division,Pearse Street,61202,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR South Central Division,Pearse Street,61202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",241
2003,DMR South Central Division,Pearse Street,61202,07,Burglary and related offences (07),Burglary and related offences,726
2003,DMR South Central Division,Pearse Street,61202,08,Theft and related offences (08),Theft and related offences,5304
2003,DMR South Central Division,Pearse Street,61202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",161
2003,DMR South Central Division,Pearse Street,61202,10,Controlled drug offences (10),Controlled drug offences,209
2003,DMR South Central Division,Pearse Street,61202,11,Weapons and explosives offences (11),Weapons and explosives offences,79
2003,DMR South Central Division,Pearse Street,61202,12,Damage to property and to the environment  offences (12),Damage to property & environment,615
2003,DMR South Central Division,Pearse Street,61202,13,Public order and other social code offences (13),Public order & social code offences,2677
2003,DMR South Central Division,Pearse Street,61202,14,Road and traffic offences (14),Road and traffic offences,1101
2003,DMR South Central Division,Pearse Street,61202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",126
2003,DMR South Central Division,Pearse Street,61202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,60
2003,DMR South Central Division,Kevin Street,61301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",109
2003,DMR South Central Division,Kevin Street,61301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,127
2003,DMR South Central Division,Kevin Street,61301,05,Kidnapping and related offences (05),Kidnapping and related offences,3
2003,DMR South Central Division,Kevin Street,61301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",163
2003,DMR South Central Division,Kevin Street,61301,07,Burglary and related offences (07),Burglary and related offences,359
2003,DMR South Central Division,Kevin Street,61301,08,Theft and related offences (08),Theft and related offences,1224
2003,DMR South Central Division,Kevin Street,61301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",32
2003,DMR South Central Division,Kevin Street,61301,10,Controlled drug offences (10),Controlled drug offences,145
2003,DMR South Central Division,Kevin Street,61301,11,Weapons and explosives offences (11),Weapons and explosives offences,52
2003,DMR South Central Division,Kevin Street,61301,12,Damage to property and to the environment  offences (12),Damage to property & environment,503
2003,DMR South Central Division,Kevin Street,61301,13,Public order and other social code offences (13),Public order & social code offences,472
2003,DMR South Central Division,Kevin Street,61301,14,Road and traffic offences (14),Road and traffic offences,935
2003,DMR South Central Division,Kevin Street,61301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",40
2003,DMR South Central Division,Kevin Street,61301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,19
2003,DMR South Central Division,Kilmainham,61302,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",96
2003,DMR South Central Division,Kilmainham,61302,04,Dangerous or negligent acts (04),Dangerous or negligent acts,193
2003,DMR South Central Division,Kilmainham,61302,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR South Central Division,Kilmainham,61302,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",47
2003,DMR South Central Division,Kilmainham,61302,07,Burglary and related offences (07),Burglary and related offences,307
2003,DMR South Central Division,Kilmainham,61302,08,Theft and related offences (08),Theft and related offences,756
2003,DMR South Central Division,Kilmainham,61302,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",12
2003,DMR South Central Division,Kilmainham,61302,10,Controlled drug offences (10),Controlled drug offences,83
2003,DMR South Central Division,Kilmainham,61302,11,Weapons and explosives offences (11),Weapons and explosives offences,24
2003,DMR South Central Division,Kilmainham,61302,12,Damage to property and to the environment  offences (12),Damage to property & environment,380
2003,DMR South Central Division,Kilmainham,61302,13,Public order and other social code offences (13),Public order & social code offences,391
2003,DMR South Central Division,Kilmainham,61302,14,Road and traffic offences (14),Road and traffic offences,749
2003,DMR South Central Division,Kilmainham,61302,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",271
2003,DMR South Central Division,Kilmainham,61302,16,Offences not elsewhere classified (16),Offences not elsewhere classified,21
2003,DMR North Central Division,Bridewell Dublin,62101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",134
2003,DMR North Central Division,Bridewell Dublin,62101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,150
2003,DMR North Central Division,Bridewell Dublin,62101,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR North Central Division,Bridewell Dublin,62101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",83
2003,DMR North Central Division,Bridewell Dublin,62101,07,Burglary and related offences (07),Burglary and related offences,242
2003,DMR North Central Division,Bridewell Dublin,62101,08,Theft and related offences (08),Theft and related offences,997
2003,DMR North Central Division,Bridewell Dublin,62101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",38
2003,DMR North Central Division,Bridewell Dublin,62101,10,Controlled drug offences (10),Controlled drug offences,66
2003,DMR North Central Division,Bridewell Dublin,62101,11,Weapons and explosives offences (11),Weapons and explosives offences,27
2003,DMR North Central Division,Bridewell Dublin,62101,12,Damage to property and to the environment  offences (12),Damage to property & environment,446
2003,DMR North Central Division,Bridewell Dublin,62101,13,Public order and other social code offences (13),Public order & social code offences,452
2003,DMR North Central Division,Bridewell Dublin,62101,14,Road and traffic offences (14),Road and traffic offences,864
2003,DMR North Central Division,Bridewell Dublin,62101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",1449
2003,DMR North Central Division,Bridewell Dublin,62101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,23
2003,DMR North Central Division,Fitzgibbon Street,62202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",127
2003,DMR North Central Division,Fitzgibbon Street,62202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,116
2003,DMR North Central Division,Fitzgibbon Street,62202,05,Kidnapping and related offences (05),Kidnapping and related offences,2
2003,DMR North Central Division,Fitzgibbon Street,62202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",97
2003,DMR North Central Division,Fitzgibbon Street,62202,07,Burglary and related offences (07),Burglary and related offences,279
2003,DMR North Central Division,Fitzgibbon Street,62202,08,Theft and related offences (08),Theft and related offences,1037
2003,DMR North Central Division,Fitzgibbon Street,62202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",21
2003,DMR North Central Division,Fitzgibbon Street,62202,10,Controlled drug offences (10),Controlled drug offences,135
2003,DMR North Central Division,Fitzgibbon Street,62202,11,Weapons and explosives offences (11),Weapons and explosives offences,56
2003,DMR North Central Division,Fitzgibbon Street,62202,12,Damage to property and to the environment  offences (12),Damage to property & environment,469
2003,DMR North Central Division,Fitzgibbon Street,62202,13,Public order and other social code offences (13),Public order & social code offences,481
2003,DMR North Central Division,Fitzgibbon Street,62202,14,Road and traffic offences (14),Road and traffic offences,645
2003,DMR North Central Division,Fitzgibbon Street,62202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",49
2003,DMR North Central Division,Fitzgibbon Street,62202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,43
